,carrier_name,country_code,number_of_shippments
27,DHL_DE,DE,1119791.1923076923
78,HERMES_DE,DE,510055.26923076925
112,SWISS POST_CH,CH,491440.1153846154
0,BPOST_BE,BE,304710.73076923075
108,SDA_IT,IT,282363.46153846156
92,LA POSTE_FR,FR,267244.8653846154
48,DHL_PL,PL,246206.42307692306
101,POSTNL_NL,NL,191543.38461538462
44,DHL_NL,NL,159479.36538461538
53,DPD_PL,PL,154871.72549019608
121,ÖSTERREICHISCHE POST_AT,AT,136042.3076923077
118,UPS_IT,IT,121470.59615384616
11,CELERITAS_ES,ES,86968.5
72,GLS_DE,DE,79628.75
104,PROFESSIONAL PARCEL LOGISTICS_CZ,CZ,76826.43137254902
14,CHRONOPOST_FR,FR,73289.80769230769
16,COLIS PRIVÉ_FR,FR,66328.88461538461
17,CORREOS_ES,ES,57395.63461538462
86,INPOST_PL,PL,50415.666666666664
51,DPD_DE,DE,45971.30303030303
96,POSTI_FI,FI,40670.17307692308
50,DPD_BE,BE,34635.970588235294
9,BRT_IT,IT,34321.07692307692
49,DPD_AT,AT,32021.515151515152
10,BUDBEE_NL,NL,28494.549019607843
85,HERMES_GB,GB,27462.346153846152
110,SLOVENSKÁ POŠTA_SK,SK,18844.117647058825
8,BRING_SE,SE,16872.19230769231
70,FEDEX_PL,PL,16446.041666666668
52,DPD_NL,NL,15217.842105263158
95,POSTEITALIANE_IT,IT,12155.29411764706
94,PACKETA_RO,RO,11699.894736842105
120,YODEL_GB,GB,10456.875
7,BRING_DK,DK,9812.23076923077
88,ITELLA_LT,LT,9724.450980392157
76,GLS_HU,HU,9254.916666666666
103,POŠTA SLOVENIJE_SI,SI,8256.019607843138
18,DHL_AT,AT,5903.288461538462
21,DHL_BE,BE,5569.0
54,DWP_AT,AT,5364.384615384615
89,ITELLA_LT,LV,4247.294117647059
68,DWP_PL,PL,4132.84
87,ITELLA_LT,EE,3601.921568627451
35,DHL_FR,FR,3010.846153846154
6,BPOST_LU,LU,2714.5
119,UPS_PL,PL,2091.090909090909
71,FIETSKOERIERS_NL,NL,1762.2051282051282
59,DWP_DK,DK,1718.4117647058824
69,DWP_SE,SE,1406.0217391304348
61,DWP_FI,FI,1022.1176470588235
74,GLS_ES,ES,1014.060606060606
37,DHL_IE,IE,849.0196078431372
38,DHL_IT,IT,725.1960784313726
105,ROYAL MAIL_GB,GB,584.4666666666667
34,DHL_DK,DK,559.0588235294117
115,UPS_GB,GB,430.6458333333333
93,LA POSTE_NL,NL,376.25
126,ČESKÁ POŠTA_CZ,CZ,231.14285714285714
63,DWP_FR,FR,192.17142857142858
58,DWP_DE,DE,186.55
57,DWP_BE,BE,178.75
64,DWP_NL,NL,178.07142857142858
117,UPS_IT,FR,131.77083333333334
97,POSTNL_NL,BE,123.03703703703704
116,UPS_IT,BE,90.91836734693878
5,BPOST_FR,FR,19.307692307692307
122,ÖSTERREICHISCHE POST_AT,DE,2.3333333333333335
81,HERMES_DE,FR,2.0
20,DHL_AT,DK,2.0
75,GLS_ES,FR,2.0
60,DWP_ES,ES,2.0
55,DWP_AT,DE,2.0
123,ÖSTERREICHISCHE POST_AT,FI,2.0
43,DHL_NL,FR,1.5
47,DHL_PL,NL,1.5
82,HERMES_DE,NL,1.5
32,DHL_DE,NL,1.4
40,DHL_NL,DE,1.4
2,BPOST_BE,DE,1.4
98,POSTNL_NL,DE,1.3333333333333333
91,LA POSTE_FR,DE,1.3333333333333333
111,SWISS POST_CH,BE,1.3333333333333333
23,DHL_BE,NL,1.0
102,POSTNL_NL,SE,1.0
22,DHL_BE,CH,1.0
106,SDA_IT,CH,1.0
107,SDA_IT,DE,1.0
113,SWISS POST_CH,DE,1.0
19,DHL_AT,DE,1.0
109,SDA_IT,NL,1.0
15,CHRONOPOST_FR,NL,1.0
13,CHRONOPOST_FR,CH,1.0
100,POSTNL_NL,FR,1.0
114,SWISS POST_CH,ES,1.0
12,CHRONOPOST_FR,BE,1.0
4,BPOST_BE,NL,1.0
3,BPOST_BE,ES,1.0
124,ÖSTERREICHISCHE POST_AT,NL,1.0
125,ÖSTERREICHISCHE POST_AT,PL,1.0
24,DHL_DE,AT,1.0
29,DHL_DE,ES,1.0
99,POSTNL_NL,ES,1.0
25,DHL_DE,BE,1.0
62,DWP_FI,NL,1.0
1,BPOST_BE,CH,1.0
65,DWP_PL,BE,1.0
66,DWP_PL,DE,1.0
67,DWP_PL,NL,1.0
46,DHL_PL,FI,1.0
45,DHL_PL,BE,1.0
73,GLS_ES,DE,1.0
42,DHL_NL,ES,1.0
41,DHL_NL,DK,1.0
77,HERMES_DE,BE,1.0
79,HERMES_DE,ES,1.0
80,HERMES_DE,FI,1.0
83,HERMES_DE,PL,1.0
84,HERMES_DE,SE,1.0
39,DHL_NL,BE,1.0
36,DHL_FR,NL,1.0
33,DHL_DE,PL,1.0
31,DHL_DE,FR,1.0
90,LA POSTE_FR,BE,1.0
56,DWP_AT,PL,1.0
28,DHL_DE,DK,1.0
26,DHL_DE,CH,1.0
30,DHL_DE,FI,1.0
